Frames	Seconds	StrokePlayer	StrokeType	StrokeOutcome	ForehandBackhand	StrokeX	StrokeY
63	2.48	1	S	n	b	275	118
224	8.92	2	S	i	f	245	32
269	10.72	1	LOL	i	b	348	166
301	12	2	VLL	i	b	290	249
336	13.4	1	C	i	b	220	168
364	14.52	2	C	i	f	298	48
408	16.28	1	LL	i	b	329	229
454	18.12	2	LL	n	b	334	238
740	29.56	1	S	i	b	276	115
774	30.92	2	VC	n	b	342	254
1000	39.96	1	S	i	f	297	149
1023	40.88	2	VC	i	f	307	31
1047	41.84	1	VDL	i	b	297	235
1078	43.08	2	C	t	b	230	236
1295	51.76	2	S	i	f	238	28
1328	53.08	1	DL	n	b	347	191
1507	60.24	2	S	i	f	258	159
1549	61.92	1	LOL	i	b	343	104
1609	64.32	2	LOL	i	b	352	172
1658	66.28	1	BN	i	b	247	209
1688	67.48	2	DL	t	f	136	71
2046	81.8	2	S	i	f	243	17
2090	83.56	1	C	t	b	333	220
2296	91.8	1	S	i	b	274	113
2352	94.04	2	DL	t	b	352	202
2638	105.48	2	S	i	f	229	19
2664	106.52	1	VC	i	b	328	222
2697	107.84	2	DL	t	f	295	70
2958	118.28	2	S	i	f	256	164
2978	119.08	1	VC	i	f	315	75
3011	120.4	2	VC	i	b	289	239
3054	122.12	1	LL	i	f	336	52
3085	123.36	2	C	i	f	255	82
3112	124.44	1	LOC	i	b	272	214
3140	125.56	2	VC	i	f	303	36
3161	126.4	1	VDL	t	b	305	151
3421	136.8	1	S	i	b	279	111
3465	138.56	2	LL	i	b	352	212
3516	140.6	1	C	i	f	220	134
3540	141.56	2	LOL	i	b	298	206
3595	143.76	1	C	i	b	330	233
3617	144.64	2	LL	i	f	277	126
3656	146.2	1	C	t	f	246	65
3944	157.72	1	S	i	f	319	150
3965	158.56	2	VCS	n	f	314	51
4213	168.48	1	S	i	b	272	116
4251	170	2	VBO	n	b	340	228
4536	181.4	1	S	i	f	322	153
4578	183.08	2	LL	i	f	340	82
4614	184.52	1	LL	i	f	319	42
4646	185.8	2	BN	t	f	254	47
4919	196.72	2	S	i	f	235	38
4953	198.08	1	VLL	n	b	328	253
5123	204.88	2	S	i	f	257	162
5151	206	1	C	i	f	333	62
5172	206.84	2	VDL	n	b	280	178
5425	216.96	1	S	i	b	272	116
5463	218.48	2	VLL	n	b	350	236
5652	226.04	1	S	i	f	306	150
5682	227.24	2	VC	i	f	332	47
5724	228.92	1	LL	i	b	344	192
5749	229.92	2	DL	i	b	283	225
5783	231.28	1	C	i	b	153	229
5811	232.4	2	BN	t	f	304	61
6078	243.08	2	S	i	f	246	38
6117	244.64	1	VC	i	b	350	224
6143	245.68	2	VKL	t	f	294	101
6388	255.48	2	S	i	f	243	150
6412	256.44	1	VC	i	f	324	44
6450	257.96	2	LOL	i	b	336	216
6489	259.52	1	LL	l	b	305	178
7876	315	2	S	i	f	236	36
7910	316.36	1	VC	n	b	344	180
8080	323.16	2	S	i	f	268	146
8101	324	1	VC	i	f	309	30
8129	325.12	2	DC	i	b	289	195
8167	326.64	1	C	i	f	150	72
8201	328	2	LOL	i	b	336	215
8241	329.6	1	LL	i	b	340	235
8268	330.68	2	VBN	n	b	249	247
8530	341.16	1	S	i	b	275	115
8561	342.4	2	VC	i	b	333	249
8609	344.32	1	LL	i	f	329	110
8634	345.32	2	DL	i	b	320	197
8668	346.68	1	C	i	b	161	229
8688	347.48	2	VLL	i	f	273	61
8748	349.88	1	LL	t	f	295	86
8981	359.2	1	S	i	f	300	144
9007	360.24	2	VC	i	f	317	45
9030	361.16	1	VC	n	f	297	165
9339	373.52	2	S	i	f	221	30
9368	374.68	1	C	i	b	340	204
9411	376.4	2	LOC	n	f	285	56
9614	384.52	1	S	i	b	273	117
9647	385.84	2	VC	i	b	349	257
9676	387	1	C	i	f	250	103
9710	388.36	2	BO	i	b	343	213
9749	389.92	1	DL	i	f	144	84
9780	391.16	2	DL	i	f	135	53
9820	392.76	1	DL	n	f	182	45
10276	411	2	S	i	f	237	32
10319	412.72	1	DC	t	b	346	183
10485	419.36	1	S	i	b	270	118
10521	420.8	2	VC	i	b	345	229
10563	422.48	1	C	i	f	227	47
10599	423.92	2	LL	i	b	352	168
10637	425.44	1	C	i	f	207	127
10655	426.16	2	VLL	n	b	281	178
10959	438.32	1	S	i	f	325	158
10987	439.44	2	VBN	t	f	323	53
11288	451.48	2	S	i	f	222	18
11334	453.32	1	LL	i	b	349	154
11364	454.52	2	VLL	i	b	284	239
11417	456.64	1	LL	i	b	347	172
11450	457.96	2	LOC	i	b	307	213
11475	458.96	1	VDL	n	f	265	91
11857	474.24	2	S	i	f	252	150
11889	475.52	1	C	i	f	335	90
11919	476.72	2	BO	i	b	300	226
11962	478.44	1	LOC	i	f	144	64
12020	480.76	2	BO	n	b	351	198
12318	492.68	1	S	i	b	283	117
12355	494.16	2	VC	i	b	349	226
12397	495.84	1	LL	t	f	340	109
12656	506.2	1	S	i	f	303	149
12683	507.28	2	VKL	t	f	310	68
13024	520.92	2	S	n	f	244	40
13246	529.8	1	S	i	b	272	116
13284	531.32	2	VLL	i	b	332	226
13322	532.84	1	LL	i	b	337	213
13346	533.8	2	DL	n	b	276	211
