Frames	Seconds	EventPlayer	Event	EventDesc1	EventDesc2	EventX	EventY
81	3.24	2	S	i	b	124	164
134	5.36	1	BO	i	b	30	103
170	6.8	2	DL	i	f	246	227
194	7.76	1	LL	n	f	231	246
357	14.28	2	S	i	f	109	118
407	16.28	1	LL	i	f	28	159
446	17.84	2	KL	i	f	119	207
471	18.84	1	LL	i	f	141	252
498	19.92	2	VCS	i	f	204	175
526	21.04	1	KL	t	b	84	44
711	28.44	1	S	i	f	141	272
749	29.96	2	C	i	b	36	72
799	31.96	1	C	i	f	72	232
845	33.8	2	LL	i	b	43	66
892	35.68	1	LL	i	b	46	42
923	36.92	2	LL	i	b	64	30
973	38.92	1	LL	i	b	41	91
1012	40.48	2	C	i	b	39	56
1038	41.52	1	LL	i	f	78	220
1067	42.68	2	C	i	f	90	226
1093	43.72	1	LL	i	b	69	64
1141	45.64	2	LL	i	b	37	40
1187	47.48	1	LL	i	b	52	53
1222	48.88	2	LL	i	b	50	31
1273	50.92	1	LL	i	b	48	38
1325	53	2	DL	i	b	39	48
1355	54.2	1	C	i	b	176	33
1393	55.72	2	C	i	f	177	246
1426	57.04	1	LL	i	b	39	48
1461	58.44	2	C	i	b	88	24
1499	59.96	1	LL	i	f	35	236
1537	61.48	2	VC	i	f	172	209
1561	62.44	1	LL	i	b	82	86
1612	64.48	2	DL	t	b	42	55
1798	71.92	2	S	i	b	127	162
1826	73.04	1	VC	i	b	60	8
1853	74.12	2	C	i	f	90	226
1878	75.12	1	LL	i	b	100	59
1918	76.72	2	BO	i	b	37	40
1960	78.4	1	C	i	f	264	223
1983	79.32	2	LL	i	b	92	54
2015	80.6	1	LL	i	b	73	36
2061	82.44	2	LL	i	b	45	31
2117	84.68	1	C	i	b	73	45
2146	85.84	2	KL	t	f	62	207
2398	95.92	2	S	i	f	117	122
2420	96.8	1	VC	i	f	94	256
2453	98.12	2	LL	i	b	45	36
2499	99.96	1	C	i	b	56	29
2530	101.2	2	C	i	f	58	216
2557	102.28	1	LL	i	b	102	25
2593	103.72	2	DL	t	b	105	47
2814	112.56	2	S	i	b	142	156
2851	114.04	1	LL	i	b	38	60
2897	115.88	2	C	i	b	54	28
2931	117.24	1	KL	n	f	54	222
3144	125.76	2	S	i	f	126	117
3165	126.6	1	VC	i	f	117	265
3214	128.56	2	LL	i	b	37	79
3256	130.24	1	LL	i	b	43	44
3281	131.24	2	C	i	b	90	20
3327	133.08	1	LL	i	f	36	210
3358	134.32	2	C	i	f	64	207
3382	135.28	1	LL	i	b	77	79
3406	136.24	2	DL	i	b	109	55
3446	137.84	1	DC	i	f	242	107
3474	138.96	2	C	i	b	259	57
3514	140.56	1	LL	i	f	35	168
3548	141.92	2	BN	i	f	92	205
3585	143.4	1	DL	n	b	212	30
3752	150.08	2	S	i	b	134	155
3809	152.36	1	LL	i	b	41	96
3840	153.6	2	C	i	b	55	53
3889	155.56	1	LL	i	f	50	203
3917	156.68	2	C	i	f	77	234
3950	158	1	LL	i	b	40	43
3997	159.88	2	LL	i	b	55	26
4046	161.84	1	LL	i	b	45	70
4090	163.6	2	LL	i	b	58	32
4139	165.56	1	LL	i	b	51	79
4165	166.6	2	LL	i	b	72	54
4201	168.04	1	LL	i	b	47	36
4246	169.84	2	C	i	b	78	24
4274	170.96	1	KL	t	f	93	241
4567	182.68	1	S	i	f	153	272
4627	185.08	2	C	i	b	57	48
4673	186.92	1	C	i	f	42	171
4705	188.2	2	LL	i	b	40	38
4739	189.56	1	LL	i	b	54	58
4768	190.72	2	C	i	f	130	173
4804	192.16	1	LL	i	b	39	36
4835	193.4	2	LL	i	b	57	47
4873	194.92	1	LL	i	b	45	34
4929	197.16	2	DL	n	b	39	44
5265	210.6	1	S	i	f	99	122
5287	211.48	2	VKC	i	f	110	242
5315	212.6	1	DC	t	b	156	121
5554	222.16	1	S	i	f	153	272
5588	223.52	2	VC	i	b	46	23
5622	224.88	1	KL	i	f	54	201
5648	225.92	2	C	i	f	122	244
5680	227.2	1	LL	i	b	72	42
5709	228.36	2	LL	i	b	61	35
5757	230.28	1	LL	i	b	82	68
5798	231.92	2	C	i	b	54	38
5834	233.36	1	C	i	f	73	231
5867	234.68	2	LL	i	b	38	39
5907	236.28	1	BN	i	b	50	31
5943	237.72	2	C	i	f	207	246
5972	238.88	1	LL	i	b	52	38
6020	240.8	2	C	i	b	44	61
6045	241.8	1	LL	i	f	69	220
6092	243.68	2	LL	l	f	40	218
6214	248.56	1	S	i	f	132	266
6276	251.04	2	C	i	b	63	27
6328	253.12	1	LL	i	f	36	136
6357	254.28	2	C	i	f	92	211
6391	255.64	1	LL	i	b	42	42
6423	256.92	2	C	i	b	126	35
6445	257.8	1	C	i	f	93	202
6491	259.64	2	C	i	b	40	63
6521	260.84	1	LL	i	f	88	229
6551	262.04	2	LL	i	f	65	242
6596	263.84	1	C	i	f	58	236
6623	264.92	2	BR	n	b	74	101
6790	271.6	1	S	i	f	105	114
6814	272.56	2	VC	i	f	87	256
6859	274.36	1	LL	i	b	60	54
6904	276.16	2	BO	i	b	46	55
6947	277.88	1	C	i	f	203	233
6978	279.12	2	LL	i	b	31	46
7033	281.32	1	C	i	b	53	38
7058	282.32	2	KL	i	f	71	205
7083	283.32	1	LOC	i	f	133	239
7117	284.68	2	VKC	i	b	63	47
7146	285.84	1	DC	i	f	152	147
7182	287.28	2	C	i	b	211	30
7211	288.44	1	C	i	f	45	181
7241	289.64	2	LL	i	b	106	28
7288	291.52	1	LL	i	b	57	46
7341	293.64	2	LL	i	b	57	28
7394	295.76	1	LL	i	b	53	51
7424	296.96	2	LL	i	b	59	44
7465	298.6	1	KL	i	b	47	36
7487	299.48	2	C	i	b	134	21
7520	300.8	1	KL	i	f	48	200
7547	301.88	2	C	i	f	102	252
7579	303.16	1	LL	i	b	70	90
7602	304.08	2	LOL	i	b	77	50
7640	305.6	1	VLL	i	b	97	27
7674	306.96	2	LL	i	b	67	38
7717	308.68	1	LL	i	b	54	29
7771	310.84	2	C	i	b	51	31
7817	312.68	1	BO	i	f	34	199
7868	314.72	2	LL	i	b	200	107
7910	316.4	1	LL	i	b	43	46
7964	318.56	2	DL	i	b	56	89
7994	319.76	1	C	i	b	139	30
8040	321.6	2	LL	i	f	49	183
8072	322.88	1	LL	n	f	49	243
8289	331.56	2	S	i	b	126	159
8326	333.04	1	KL	n	b	34	58
8538	341.52	2	S	i	f	137	121
8559	342.36	1	VC	i	f	109	266
8607	344.28	2	C	i	b	47	83
8640	345.6	1	C	i	f	53	239
8669	346.76	2	C	i	b	65	50
8717	348.68	1	LL	i	f	67	240
8761	350.44	2	C	i	f	73	238
8790	351.6	1	LL	i	b	60	30
8835	353.4	2	LL	i	b	41	50
8881	355.24	1	C	i	b	59	49
8914	356.56	2	C	i	f	64	226
8939	357.56	1	LL	i	b	77	69
8971	358.84	2	C	i	b	58	53
9018	360.72	1	C	i	f	51	229
9054	362.16	2	LL	i	b	85	86
9102	364.08	1	LL	i	b	50	47
9132	365.28	2	LL	i	b	54	36
9190	367.6	1	C	i	b	61	39
9235	369.4	2	C	i	f	72	251
9279	371.16	1	LL	i	b	51	41
9305	372.2	2	C	i	b	75	20
9343	373.72	1	KL	i	f	40	212
9367	374.68	2	C	i	f	126	236
9397	375.88	1	LL	i	b	49	68
9432	377.28	2	LL	i	b	52	39
9461	378.44	1	LL	i	b	99	37
9503	380.12	2	C	i	b	49	41
9537	381.48	1	LL	i	f	35	232
9583	383.32	2	C	i	f	57	249
9614	384.56	1	LL	i	b	50	67
9658	386.32	2	LL	i	b	46	31
9707	388.28	1	LL	i	b	51	87
9739	389.56	2	C	i	b	73	59
9766	390.64	1	C	i	f	77	245
9815	392.6	2	LL	i	b	32	77
9850	394	1	LL	i	b	67	37
9892	395.68	2	LL	i	b	51	40
9938	397.52	1	LL	i	b	56	34
9989	399.56	2	C	i	b	46	35
10014	400.56	1	C	n	f	81	247
10262	410.48	2	S	i	b	123	165
10300	412	1	C	i	b	31	80
10345	413.8	2	LL	i	f	59	194
10371	414.84	1	KL	t	f	101	247
10683	427.32	1	S	i	f	140	271
10717	428.68	2	VC	i	b	34	13
10755	430.2	1	KL	i	f	36	196
10781	431.24	2	C	i	f	120	215
10812	432.48	1	LL	i	b	65	54
10856	434.24	2	LL	i	b	38	64
10890	435.6	1	LL	i	b	126	9
10920	436.8	2	VC	i	b	86	34
10966	438.64	1	C	i	f	52	190
11009	440.36	2	C	i	b	47	20
11034	441.36	1	VLL	i	f	103	210
11067	442.68	2	C	i	f	117	218
11094	443.76	1	LL	i	b	82	81
11138	445.52	2	C	i	b	44	31
11166	446.64	1	C	i	b	94	133
11195	447.8	2	LL	l	f	74	187
11320	452.8	1	S	i	b	149	268
11354	454.16	2	VC	i	b	40	10
11409	456.36	1	C	i	f	44	205
11455	458.2	2	LL	i	b	34	72
11499	459.96	1	DL	i	b	38	40
11528	461.12	2	C	i	b	193	16
11561	462.44	1	C	i	f	56	200
11587	463.48	2	C	i	b	120	55
11615	464.6	1	LL	i	f	89	214
11658	466.32	2	C	i	f	55	208
11702	468.08	1	LL	i	b	56	36
11731	469.24	2	C	i	b	89	69
11755	470.2	1	VLL	i	f	80	200
11785	471.4	2	KL	i	f	123	210
11811	472.44	1	LOL	i	f	97	257
11850	474	2	VC	i	f	48	209
11894	475.76	1	LL	i	b	56	42
11946	477.84	2	C	i	b	45	34
11979	479.16	1	LL	i	f	42	211
12006	480.24	2	C	i	f	102	239
12032	481.28	1	LL	i	b	84	31
12081	483.24	2	C	i	b	68	40
12109	484.36	1	C	i	f	99	249
12136	485.44	2	LL	i	b	58	29
12186	487.44	1	BN	i	b	51	31
12220	488.8	2	C	i	f	198	221
12250	490	1	LL	i	b	57	44
12296	491.84	2	LL	i	b	56	107
12338	493.52	1	LL	i	b	48	28
